ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _menu_order

,simple,ukep_cert_ul,УКЭП (Годовой) Юридическое лицо,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3000,"Сертификаты > УКЭП",,,,,,,,,,,,,,,,,,0
,simple,ukep_cert_fl,УКЭП (Годовой) Физическое лицо,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Сертификаты > УКЭП",,,,,,,,,,,,,,,,,,1
,simple,ukep_cert_ip,УКЭП (Годовой) Индивидуальный предприниматель,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Сертификаты > УКЭП",,,,,,,,,,,,,,,,,,2

,simple,ukep_cert_fl_corp,ЭП физического лица для сотрудника организаций и Индивидуальных предпринимателей,1,0,visible,"Для представления интересов компании в информационных системах, сдачи отчетности, работы в ЭДО, участия в торгах",,,,taxable,,1,,,0,0,,,,,1,,,3000,"Сертификаты > УКЭП",,,,,,,,,,,,,,,,,,3
,simple,ukep_cert_fl_ip,ЭП физического лица для Индивидуальных предпринимателей,1,0,visible,"Для представления интересов компании в информационных системах, сдачи отчетности, работы в ЭДО, участия в торгах",,,,taxable,,1,,,0,0,,,,,1,,,3000,"Сертификаты > УКЭП",,,,,,,,,,,,,,,,,,4
,simple,ukep_cert_fl_simple,ЭП физического лица,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,2000,"Сертификаты > УКЭП",,,,,,,,,,,,,,,,,,5
,simple,ukep_cert_ruk,ЭП руководителей организаций,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3000,"Сертификаты > УКЭП",,,,,,,,,,,,,,,,,,6
,simple,ukep_cert_ip_main,ЭП Индивидуальных предпринимателей,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,3000,"Сертификаты > УКЭП",,,,,,,,,,,,,,,,,,7

